42.847,1.098,1.273,42.8799666744274
42.875,1.083,1.273,42.9075639369098
42.913,1.072,1.25,42.9445835117771
42.984,1.064,1.214,43.0143016681661
42.972,1.163,1.16,43.0033830413376
42.89,1.197,1.176,42.9228131067851
42.851,1.204,1.195,42.8845641460887
42.831,1.189,1.211,42.8646101463667
42.823,1.17,1.212,42.8561217680742
42.823,1.155,1.227,42.8561417185448
42.831,1.14,1.227,42.8637339717389
42.846,1.128,1.236,42.878663645221
42.874,1.117,1.251,42.9067892762905
42.916,1.117,1.259,42.9489909776702
43.021,1.144,1.275,43.055090314619
42.916,1.257,0.969,42.9453381171927
42.846,1.295,1.059,42.8786452911003
42.818,1.291,1.119,42.8520707317628
42.807,1.253,1.153,42.8408527809613
42.806,1.231,1.162,42.8394589251545
42.811,1.204,1.185,42.844317732927
42.815,1.174,1.189,42.847592954564
42.826,1.151,1.212,42.8586049819637
42.838,1.136,1.247,42.8711995283547
42.869,1.128,1.295,42.9033864630754
42.951,1.159,1.413,42.9898621886602
42.748,1.459,0.887,42.7820868354969
42.756,1.436,1.036,42.7926503970016
42.771,1.398,1.111,42.8082604879012
42.783,1.337,1.146,42.8192243507516
42.79,1.291,1.147,42.8248338000278
42.799,1.261,1.162,42.8333370869
42.803,1.215,1.162,42.8360044588661
42.802,1.174,1.17,42.8340796562737
42.787,1.128,1.213,42.8190509236251
42.764,1.087,1.275,42.7968093436882
42.744,1.056,1.472,42.7823731927064
42.511,1.717,1.044,42.558467383119
42.655,1.595,1.158,42.7005153833066
42.732,1.512,1.186,42.7751863116924
42.775,1.421,1.178,42.8148052664029
42.79,1.36,1.147,42.8269694118087
42.802,1.314,1.135,42.8372037486109
42.81,1.257,1.107,42.8427543232225
42.799,1.197,1.087,42.8295316224682
42.76,1.121,1.079,42.7882984237513
42.671,1.018,1.091,42.6970824061785
42.499,0.877,1.233,42.5259264331772
42.643,1.682,1.5,42.7025124904847
42.689,1.633,1.449,42.7447892847772
42.717,1.587,1.425,42.7702149047675
42.725,1.542,1.417,42.7762934111875
42.724,1.5,1.394,42.7730453907598
42.728,1.466,1.394,42.7758620719676
42.732,1.425,1.378,42.7779538196955
42.72,1.375,1.367,42.7639768262962
42.697,1.314,1.35,42.738541212821
42.647,1.25,1.272,42.6842721971454
42.58,1.181,1.115,42.6109655605221
